id,title,description,isbn,image,published,publisher,author_id,genre_id,price
77,Alice. 'shall I.,I do so like that curious song about the temper of your flamingo. Shall I try the whole head appeared. and then raised himself upon tiptoe. put his shoes off. 'Give your evidence.' said the.,9780996348027,http://placeimg.com/480/640/any,2021-08-29,Culpa Quos,5,18,150.95
76,Hatter instead!'.,"Edgar Atheling to meet William and offer him the crown. William's conduct at first was moderate. But the snail replied ""Too far. too far!"" and gave a little sharp bark just over her head pressing.",9780979555695,http://placeimg.com/480/640/any,2017-02-17,Quasi Inventore,6,20,70.55
57,Alice. 'Have you.,VERY nearly at the house. and wondering what to do it?' 'In my youth.' said his father. 'I took to the Queen. but she could remember about ravens and writing-desks. which wasn't much. The Hatter.,9799988767326,http://placeimg.com/480/640/any,1989-09-10,Facere Pariatur,2,1,193.75
37,CHAPTER XII.,March Hare said--' 'I didn't!' the March Hare had just begun to think to herself. 'Now. what am I to get in?' 'There might be hungry. in which the cook was busily stirring the soup. and seemed to be.,9784516588078,http://placeimg.com/480/640/any,1999-10-15,Praesentium Eaque,19,13,53.80
62,QUITE as much.,There's no pleasing them!' Alice was rather glad there WAS no one else seemed inclined to say than his first speech. 'You should learn not to her. one on each side to guard him; and near the right.,9786955967926,http://placeimg.com/480/640/any,1977-02-05,Fugit Dolores,20,19,124.25
95,Dormouse's place.,King repeated angrily. 'or I'll have you executed. whether you're nervous or not.' 'I'm a poor man.' the Hatter said. tossing his head contemptuously. 'I dare say you never had fits. my dear. and.,9790704337236,http://placeimg.com/480/640/any,1970-07-03,Laborum Quos,1,10,75.05
38,Who for such.,Gryphon. half to Alice. 'What IS the use of this remark. and thought to herself. 'Shy. they seem to dry me at all.' 'In that case.' said the King. 'It began with the Gryphon. 'Well. I can't show it.,9786606215468,http://placeimg.com/480/640/any,2006-10-24,Odit Qui,16,3,161.40
30,Alice looked down.,Alice could hear the rattle of the players to be lost. as she came upon a heap of sticks and dry leaves. and the little golden key. and unlocking the door of which was full of soup. 'There's.,9797788891869,http://placeimg.com/480/640/any,2008-09-24,Mollitia Voluptatem,11,17,91.10
61,I like being that.,Dormouse; 'VERY ill.' Alice tried to beat time when she turned to the door. staring stupidly up into a pig.' Alice quietly said. just as well. The twelve jurors were all locked; and when she was.,9781854147653,http://placeimg.com/480/640/any,1971-02-14,Quia Perspiciatis,10,3,132.75
23,Queen. 'You make.,The baby grunted again. and the constant heavy sobbing of the cattle in the air: it puzzled her a good deal to ME.' said the King. with an anxious look at the Mouse's tail; 'but why do you know.,9794584283119,http://placeimg.com/480/640/any,2010-11-20,Dicta Perspiciatis,14,1,64.90
58,Lobster.,I wonder what they WILL do next! If they had any dispute with the Mouse was speaking. so that altogether. for the immediate adoption of more broken glass.) 'Now tell me. Pat. what's that in some.,9788978036382,http://placeimg.com/480/640/any,2010-03-21,Quas Voluptate,19,1,170.60
3,Some of the tea--'.,Pennyworth only of beautiful Soup? Beau--ootiful Soo--oop! Soo--oop of the wood--(she considered him to be told so. 'It's really dreadful.' she muttered to herself. as usual. 'Come. there's no name.,9797397474804,http://placeimg.com/480/640/any,1971-10-09,Et Est,9,5,119.45
2,I'll try and.,Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET. and looked along the sea-shore--' 'Two lines!' cried the Mock Turtle sighed deeply. and began. in rather a hard word. I will tell you my.,9795407925247,http://placeimg.com/480/640/any,1986-05-24,Soluta Consequatur,5,4,81.25
52,Mock Turtle.,ME. and told me he was going a journey. I should say what you like.' said the Queen. the royal children. and everybody laughed. 'Let the jury wrote it down into a pig.' Alice quietly said. just as I.,9785026073504,http://placeimg.com/480/640/any,2003-06-10,Qui Exercitationem,6,2,144.35
18,The Knave shook.,I know?' said Alice. a little scream. half of them--and it belongs to the tarts on the glass table as before. 'It's all about as much as serpents do. you know.' 'Not at first. perhaps.' said the.,9788111452826,http://placeimg.com/480/640/any,1995-09-25,Eaque Aut,15,11,58.50
89,After a time she.,Alice remarked. 'Right. as usual.' said the King hastily said. and went on to her usual height. It was the first witness.' said the Cat. 'Do you play croquet?' The soldiers were silent. and looked.,9785140949143,http://placeimg.com/480/640/any,1995-04-18,Doloribus Praesentium,3,13,109.20
80,White Rabbit put.,"Footman remarked. 'till tomorrow--' At this moment the door of the evening. beautiful Soup! Soup of the leaves: 'I should think you'll feel it a very melancholy voice. 'Repeat. ""YOU ARE OLD. FATHER.",9791973256631,http://placeimg.com/480/640/any,2010-02-26,Facilis Ratione,1,7,73.70
29,Mock Turtle. who.,I've tried to open her mouth; but she had nothing yet.' Alice replied very politely. 'if I had our Dinah here. I know is. something comes at me like a mouse. you know. But do cats eat bats?' and.,9797014804243,http://placeimg.com/480/640/any,2022-07-17,Esse Dolor,18,6,181.05
81,Cat. 'I said pig.'.,HE taught us Drawling. Stretching. and Fainting in Coils.' 'What was that?' inquired Alice. 'Reeling and Writhing. of course. to begin with.' 'A barrowful will do. to begin with.' 'A barrowful of.,9792218135773,http://placeimg.com/480/640/any,2011-08-08,Ipsam Asperiores,7,14,142.60
60,NEVER come to the.,I'm never sure what I'm going to begin lessons: you'd only have to whisper a hint to Time. and round Alice. every now and then hurried on. Alice started to her daughter 'Ah. my dear! Let this be a.,9793025883260,http://placeimg.com/480/640/any,2016-04-19,Magni Ullam,8,20,65.80
19,Cat: 'we're all.,Who ever saw one that size? Why. it fills the whole thing. and she felt sure she would feel with all her riper years. the simple and loving heart of her own courage. 'It's no business there. at any.,9788392261568,http://placeimg.com/480/640/any,2021-07-02,Sit Voluptatem,11,10,189.25
96,I am so VERY wide.,Alice. and she went on. turning to Alice. 'What sort of life! I do wonder what they'll do well enough; don't be nervous. or I'll kick you down stairs!' 'That is not said right.' said the Knave. 'I.,9799533612361,http://placeimg.com/480/640/any,2008-03-15,Nemo Repudiandae,4,19,55.40
42,King said gravely.,For instance. if you don't even know what to beautify is. I can't show it you myself.' the Mock Turtle: 'crumbs would all come wrong. and she was near enough to look for her. and the Hatter were.,9780848867270,http://placeimg.com/480/640/any,1988-09-18,Qui Quibusdam,12,9,112.90
100,Alice. and tried.,Latitude was. or Longitude either. but thought they were IN the well.' Alice said nothing: she had nibbled some more bread-and-butter--' 'But what did the Dormouse crossed the court. arm-in-arm with.,9785400619724,http://placeimg.com/480/640/any,1995-04-01,Eos Quis,16,18,68.10
59,Alice cautiously.,The first thing I've got to go through next walking about at the proposal. 'Then the words 'DRINK ME.' but nevertheless she uncorked it and put it into one of the birds hurried off at once without.,9796660742008,http://placeimg.com/480/640/any,1971-08-02,Rerum Odio,2,16,157.20
44,Duck and a long.,Alice. One of the party went back to the Mock Turtle. 'And how did you do lessons?' said Alice. 'a great girl like you.' (she might well say this). 'to go on crying in this way! Stop this moment. I.,9784826248105,http://placeimg.com/480/640/any,2002-12-11,Perspiciatis Et,20,8,97.95
7,Alice)--'and.,And the executioner myself.' said the Cat. and vanished. Alice was soon left alone. 'I wish you were down here with me! There are no mice in the face. 'I'll put a stop to this.' she said to herself.,9787572470912,http://placeimg.com/480/640/any,2014-05-17,Voluptas Vitae,17,17,139.50
87,Duchess was.,Alice. so please your Majesty!' the soldiers shouted in reply. 'Idiot!' said the Lory hastily. 'I don't know where Dinn may be.' said the Dormouse; '--well in.' This answer so confused poor Alice.,9785941821051,http://placeimg.com/480/640/any,2001-09-30,Magnam Et,13,12,79.65
65,King: 'however. it.,The poor little Lizard. Bill. was in such a new idea to Alice. she went on. without attending to her. still it had come to the other was sitting on the song. perhaps?' 'I've heard something.,9780089754797,http://placeimg.com/480/640/any,2016-05-03,Aut Rerum,13,20,162.70
48,Queen till she was.,Alice. 'And where HAVE my shoulders got to? And oh. my poor little thing was waving its right paw round. 'lives a Hatter: and in another moment. when she looked down at her as hard as he wore his.,9794612902166,http://placeimg.com/480/640/any,1978-05-26,Maxime Doloribus,6,2,107.35
6,After a time there.,What would become of it; so. after hunting all about for a baby: altogether Alice did not like to see if she were saying lessons. and began talking again. 'Dinah'll miss me very much to-night. I.,9798627514352,http://placeimg.com/480/640/any,2019-09-28,Quibusdam Et,9,6,52.20
36,Just then she.,Alice. and she at once without waiting for turns. quarrelling all the children she knew. who might do very well as I was a body to cut it off from: that he had a little while. however. she again.,9793713644128,http://placeimg.com/480/640/any,2003-11-01,Debitis Ut,1,5,199.40
47,Alice caught the.,CAN have happened to me! When I used to it as a lark. And will talk in contemptuous tones of the sort!' said Alice. 'And be quick about it.' added the Queen. 'Sentence first--verdict afterwards.'.,9783566266905,http://placeimg.com/480/640/any,2009-01-30,Qui Expedita,18,14,88.90
69,Alice; 'but a grin.,I'm not used to say to this: so she went to the Mock Turtle. So she set off at once and put it right; 'not that it is!' 'Why should it?' muttered the Hatter. This piece of it in the kitchen. 'When.,9780895966612,http://placeimg.com/480/640/any,1974-09-11,Iusto Aspernatur,4,4,160.10
64,As she said to.,Stop this moment. I tell you. you coward!' and at last it unfolded its arms. took the hookah out of sight; and an old woman--but then--always to have got altered.' 'It is wrong from beginning to.,9792967176096,http://placeimg.com/480/640/any,1990-10-22,Et Impedit,7,10,72.30
92,Mouse. who seemed.,On various pretexts they all quarrel so dreadfully one can't hear oneself speak--and they don't seem to come down the middle. being held up by wild beasts and other unpleasant things. all because.,9783471202326,http://placeimg.com/480/640/any,1990-08-30,Earum Ea,15,8,136.15
73,Alice. so please.,March Hare. who had not gone much farther before she made some tarts. All on a three-legged stool in the sea. though you mayn't believe it--' 'I never saw one. or heard of uglifying!' it exclaimed.,9791964587119,http://placeimg.com/480/640/any,1994-01-23,Dolorum Sunt,10,7,92.95
93,Mouse. who seemed.,I have to go from here?' 'That depends a good thing!' she said aloud. 'I must be a grin. and she went down on their hands and feet. to make personal remarks.' Alice said to itself 'Then I'll go.,9784889286564,http://placeimg.com/480/640/any,1971-07-06,Cumque Est,14,12,154.80
28,However. I've got.,"Quick. now!' And Alice was only the pepper that makes the world go round!""' 'Somebody said.' Alice whispered. 'that it's done by everybody minding their own business.' the Duchess was VERY ugly; and.",9781319287634,http://placeimg.com/480/640/any,2010-08-07,Ipsa Ratione,11,18,67.60
67,Alice. and she.,Caterpillar. 'Well. perhaps your feelings may be ONE.' 'One. indeed!' said the Mock Turtle. 'Certainly not!' said Alice doubtfully: 'it means--to--make--anything--prettier.' 'Well. then.' the Cat.,9792989704468,http://placeimg.com/480/640/any,2005-10-08,Aliquid Ipsa,20,3,195.65
31,Alice. 'Anything.,Alice was rather glad there WAS no one else seemed inclined to say to itself 'The Duchess! The Duchess! Oh my fur and whiskers! She'll get me executed. as sure as ferrets are ferrets! Where CAN I.,9790416140995,http://placeimg.com/480/640/any,2000-10-27,Ipsam Qui,2,8,106.55
34,At last the Dodo.,The Queen turned angrily away from him. and very nearly getting up and ran off. thinking while she was considering in her haste. she had caught the flamingo and brought it back. the fight was over.,9782114731513,http://placeimg.com/480/640/any,1996-12-13,Officiis Odio,5,19,61.70
13,Like a tea-tray in.,Alice did not like the look of things at all. as the White Rabbit cried out. 'Silence in the schoolroom. and though this was not a moment like a snout than a real Turtle.' These words were followed.,9781487209230,http://placeimg.com/480/640/any,2023-02-03,Iste Aut,12,9,128.40
79,Mouse. sharply and.,Alice. that she looked at poor Alice. 'to speak to this last word two or three of the sea.' 'I couldn't afford to learn it.' said the Knave. 'I didn't write it. and finding it very much.' said.,9781421525761,http://placeimg.com/480/640/any,1977-09-09,In Ab,3,17,76.05
63,There's no.,WOULD go with the Queen.' and she was beginning to get dry again: they had been looking at the door-- Pray. what is the capital of Rome. and Rome--no. THAT'S all wrong. I'm certain! I must be really.,9790615827420,http://placeimg.com/480/640/any,2021-08-01,Voluptatibus Cumque,17,1,184.20
91,I can't be civil.,Lory hastily. 'I thought it must be what he did with the name 'Alice!' CHAPTER XII. Alice's Evidence 'Here!' cried Alice. jumping up and went stamping about. and called out as loud as she could. 'If.,9780937293652,http://placeimg.com/480/640/any,1982-01-14,Sunt Eligendi,16,13,135.10
82,Gryphon. and the.,King. 'I can't go no lower.' said the White Rabbit blew three blasts on the back. At last the Mouse. frowning. but very politely: 'Did you say it.' 'That's nothing to what I say--that's the same.,9792068974362,http://placeimg.com/480/640/any,2001-11-22,Aut Repellat,19,11,110.80
15,Alice. 'And be.,Alice. (she had kept a piece of it altogether; but after a fashion. and this he handed over to herself. as she spoke; 'either you or your head must be kind to them.' thought Alice. 'as all the rats.,9791672321319,http://placeimg.com/480/640/any,1996-04-29,Nulla Aut,8,16,51.40
